Test Name,Scale,Runtime (ms)
mandelbrot,1k,1843
mandelbrot,1.5k,4108
mandelbrot,2k,7390
mandelbrot,2.5k,11487
mandelbrot,3k,16528
mandelbrot,3.5k,22596
mandelbrot,4k,29305
galaxy,1k,3292
galaxy,1.5k,7282
galaxy,2k,12943
galaxy,2.5k,20119
galaxy,3k,28919
galaxy,3.5k,39197
galaxy,4k,51115
stuff,1k,2793
stuff,1.5k,6176
stuff,2k,10972
stuff,2.5k,17104
stuff,3k,24627
stuff,3.5k,33499
stuff,4k,43740
seastar,1k,774
seastar,1.5k,1630
seastar,2k,2900
seastar,2.5k,4576
seastar,3k,6537
seastar,3.5k,8950
seastar,4k,11870
shells,1k,2262
shells,1.5k,4982
shells,2k,8803
shells,2.5k,13678
shells,3k,19778
shells,3.5k,26839
shells,4k,34555
