Test Name,Scale,Runtime (ms)
Mandelbrot,1k,1389
Mandelbrot,2k,5528
Mandelbrot,4k,22386
Galaxy,1k,1683
Galaxy,2k,5310
Galaxy,4k,21183
Stuff,1k,1427
Stuff,2k,5597
Stuff,4k,22107
Seastar,1k,436
Seastar,1.5k,570
Seastar,4k,6358
Shells,1k,1019
Shells,2k,3908
Shells,4k,15753
Mandelbrot,1.5k,3203
Mandelbrot,2.5k,8899
Mandelbrot,3k,12762
Mandelbrot,3.5k,17022
Galaxy,1.5k,3036
Galaxy,2.5k,8384
Galaxy,3k,11928
Galaxy,3.5k,16150
Stuff,1.5k,3107
Stuff,2.5k,8564
Stuff,3k,12478
Stuff,3.5k,17018
Seastar,1.5k,918
Seastar,2.5k,2478
Seastar,3k,3571
Seastar,3.5k,4876
Shells,1.5k,2201
Shells,2.5k,5994
Shells,3k,8675
Shells,3.5k,11831
